rvars
1.2,1.2
0.0,0.0
0.0,0.0

1.2,1.8783073642631765
0.0,-0.012743667560351835
0.0,0.0

1.8783073642631765,2.5566147285263527
-0.012743667560351835,-0.025487335120704266
0.0,0.0

2.5566147285263527,2.5283073642631764
-0.025487335120704266,-0.012743667560352112
0.0,0.0

2.5283073642631764,2.5
-0.012743667560352112,0.0
0.0,0.0

hvars
0.0,6.0

6.0,12.0

12.0,18.0

18.0,24.0

24.0,30.0

ids
pre

post

pre

post

none

other_names
crackle

crackle

pop

pop

none

